ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100074,2007,1,4.645122218,14,0,1,2.678518379,1,0,0.00069903,0.005561517
100075,2007,1,5.427755382,20,0,0,3.255513713,1,1,0.005322384,0.017834633
100075,2009,1,8.343665827,16,0,0,3.14113609,1,1,1.4678065,4.7138645
100075,2013,1,5.387142493,20,0,0,4.283052343,0,0,0.005201603,0.01147622
100075,2015,1,5.324309253,115,0,1,4.241820319,0,0,0.002002952,0.004799169
100075,2017,1,5.266251576,190,0,1,4.191618663,0,1,0,-0.006837608
100076,2007,1,4.760247592,90,0,1,2.457881897,0,1,0.000315419,0.023106086
100076,2009,1,7.454745083,16,0,1,2.426511261,1,1,1.5310798,36.89652
100076,2013,1,5.325292301,96,0,1,2.678518379,0,1,0.001631174,0.069020414
100077,2007,1,4.812234893,56,0,0,2.526339277,1,0,0.000687624,0.000740194
100077,2015,1,3.4068918,64,0,0,3.723701894,0,0,0.001068192,0.000811232
100079,2007,1,5.483196327,12,1,1,2.120573931,0,0,0.033927387,0.19298991
100079,2009,1,8.589328455,15,1,1,2.012837225,0,1,37.941832,230.541552
100079,2013,1,6.629666073,19,1,1,3.164352856,0,0,0.007645819,0.33116175
100079,2015,1,5.739036709,21,1,1,3.567614443,0,0,0.078230508,0.3367405
100079,2017,1,5.832507239,23,1,1,3.484726804,0,0,0.076270313,0.27550609
100080,2007,1,3.903743244,90,0,1,2.049218023,0,1,4.43E-06,0.000127714
100081,2007,1,4.118418868,66,0,1,2.408239965,1,0,0,-0.000433926
100081,2015,1,4.178339822,75,0,1,3.482444792,0,1,3.49E-05,-2.42E-05
100082,2009,1,6.680273538,16,0,1,1.278753601,0,0,0.028855139,0.38460247
100082,2013,1,3.882420972,20,0,1,2.359835482,0,0,9.06E-05,0.000392456
100082,2015,1,3.925856099,50,0,0,2.478566496,0,0,8.75E-05,0.001380424
100083,2007,1,3.871762151,23,0,1,1.653212514,1,1,2.33E-05,0.003397212
100083,2009,1,6.905774192,24,0,1,1.681241237,0,1,0,0.16505873
100083,2013,1,3.902693072,29,0,1,2.795880017,0,0,2.25E-05,7.91E-05
