sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
1,107,2.6600001,0,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,0,13,13,1
0,105,2.1300001,1,1,1,3,3,4,2,3,1,5,3,5,3,5,5,,1,,13,1
0,106,2.21,1,1,1,2,1,2,1,1,4,2,2,2,1,3,3,2,1,13,11,-1
0,105,1.95,1,1,1,4,3,3,3,4,5,3,1,1,1,1,3,1,1,9,7,-1
1,104,2.3499999,0,1,1,1,2,2,1,1,1,1,1,2,1,2,2,3,1,11,13,1
0,106,-.36000001,1,1,1,2,1,1,2,1,3,2,1,3,3,2,2,4,1,7,13,-1
1,104,-1.37,1,1,2,1,2,2,2,2,4,2,2,3,2,1,4,3,1,9,9,1
1,106,-.99000001,1,1,1,1,1,1,2,2,2,2,2,3,1,1,2,2,1,16,19,1
0,105,1.64,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,5,5,-1
1,105,1.61,1,0,1,1,1,1,1,1,3,1,1,3,1,1,1,3,1,,10,-1
0,104,3.22,1,1,1,1,1,1,1,3,3,3,1,3,1,5,1,2,1,13,9,-1
0,104,1,1,1,1,1,1,1,1,1,4,1,1,3,1,4,1,1,1,10,9,1
1,104,3.47,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,9,16,-1
1,107,-.12,0,1,1,1,1,1,1,3,3,1,2,4,2,3,4,2,1,13,9,1
0,105,.33000001,1,1,1,1,1,1,3,1,2,3,2,2,1,2,2,3,1,13,13,-1
1,105,1.5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,10,9,-1
1,104,2.1800001,1,1,1,1,3,1,1,2,2,1,1,2,1,1,2,2,1,5,11,-1
0,104,1.1,0,0,1,3,1,1,3,3,2,5,1,3,3,3,1,1,1,3,5,0
1,105,0,1,1,3,3,1,2,4,4,1,5,1,1,2,2,1,1,1,13,13,-1
1,105,1.72,1,1,1,3,3,3,1,1,1,3,3,3,3,5,5,2,1,7,13,-1
0,105,1.83,1,1,1,2,1,2,2,3,2,3,3,4,2,2,3,5,0,11,11,1
1,105,3.4400001,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,,1,10,10,-1
1,105,2.04,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,0,7,13,-1
0,106,1.79,1,0,1,3,1,2,1,1,1,1,1,3,1,1,1,,1,,13,0
1,105,3.46,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,9,11,1
1,105,2.6600001,1,1,1,1,2,2,1,1,1,1,1,3,1,4,1,3,1,13,13,1
0,105,-.0099999998,1,1,1,1,1,1,1,2,2,2,3,2,1,1,1,2,1,0,11,-1
1,104,4.3000002,1,1,1,1,1,1,1,5,5,1,3,2,2,2,2,2,1,9,9,1
