session_id,user_id,sequence_id,node_id,option_id,nodo_id,iia,iic,mi,ei,ci,rc,dpe_a,dpe_p,lf
a0cff01c-c475-40cc-bfc9-3758e13aad67,13bd9378-f6a3-4e4c-8de3-9c36c285f088,MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,A,12,4.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0
fa0a664b-90a0-4c0d-8065-9c0556741ddb,21244fdf-80ee-4b8e-b6da-81da840132b3,MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,B,10,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0
fa0a664b-90a0-4c0d-8065-9c0556741ddb,21244fdf-80ee-4b8e-b6da-81da840132b3,MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,B,6,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
fa0a664b-90a0-4c0d-8065-9c0556741ddb,21244fdf-80ee-4b8e-b6da-81da840132b3,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,C,7,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
fa0a664b-90a0-4c0d-8065-9c0556741ddb,21244fdf-80ee-4b8e-b6da-81da840132b3,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,C,8,2.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0
fa0a664b-90a0-4c0d-8065-9c0556741ddb,21244fdf-80ee-4b8e-b6da-81da840132b3,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,C,9,2.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N1_RIOS_CHOICE,A,1,3.0,4.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N2_GUZMAN_DOCENCIA,C,2,2.0,2.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N3_RIOS_PROTOCOLS,A,3,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0
69254e7f-dbb8-46b0-bc0b-19d10b052bfa,d2906efa-7c22-48c2-bc6c-d0f71f28ff12,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N4_SOTO_INDICATORS,C,4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0
