region,semana,paso,nom_comuna,comuna,fecha_inicio,fecha_termino,var_salidas,var_salidas_cota_inferior,var_salidas_cota_superior
14,24,0.0,PANGUIPULLI,14108,2020-06-15,2020-06-19,0.6696889579312768,0.6475405687298319,0.6918373471327216
14,25,0.0,PANGUIPULLI,14108,2020-06-22,2020-06-26,0.6614141716996496,0.6195482178530022,0.7032801255462969
14,26,0.0,PANGUIPULLI,14108,2020-06-29,2020-07-03,0.6952579932139662,0.6714408174657682,0.7190751689621641
14,27,0.0,PANGUIPULLI,14108,2020-07-06,2020-07-10,0.6953598328455055,0.6754538451691573,0.7152658205218538
14,28,4.0,PANGUIPULLI,14108,2020-07-13,2020-07-17,0.7272345320320234,0.7092977044213682,0.7451713596426786
14,29,4.0,PANGUIPULLI,14108,2020-07-20,2020-07-24,0.7290136325432456,0.6960131989205013,0.7620140661659899
14,30,4.0,PANGUIPULLI,14108,2020-07-27,2020-07-31,0.7617927466914092,0.7508908585490887,0.7726946348337296
14,31,4.0,PANGUIPULLI,14108,2020-08-03,2020-08-07,0.8091896827160932,0.8065592625527278,0.8118201028794585
14,32,4.0,PANGUIPULLI,14108,2020-08-10,2020-08-14,0.8172256220600767,0.8170761627409144,0.8173750813792388
14,33,4.0,PANGUIPULLI,14108,2020-08-17,2020-08-21,0.8434384824255284,0.8426172060550841,0.8442597587959728
14,34,4.0,PANGUIPULLI,14108,2020-08-24,2020-08-28,0.8073815320996103,0.8067964858652433,0.8079665783339771
14,35,4.0,PANGUIPULLI,14108,2020-08-31,2020-09-04,0.8185270761318191,0.7969912556146022,0.840062896649036
14,37,4.0,PANGUIPULLI,14108,2020-09-14,2020-09-18,0.7677513617866261,0.7611903040341355,0.7743124195391166
14,38,4.0,PANGUIPULLI,14108,2020-09-21,2020-09-25,0.7660311555135835,0.7588773767371103,0.7731849342900566
14,39,2.0,PANGUIPULLI,14108,2020-09-28,2020-10-02,0.7948680579282832,0.7948680579282832,0.7948680579282832
14,40,2.0,PANGUIPULLI,14108,2020-10-05,2020-10-09,0.8014940318381757,0.8014940318381757,0.8014940318381757
14,41,2.0,PANGUIPULLI,14108,2020-10-12,2020-10-16,0.8382297812598949,0.8382297812598949,0.8382297812598949
14,42,3.0,PANGUIPULLI,14108,2020-10-19,2020-10-23,0.8539983769189711,0.8539983769189711,0.8539983769189711
14,43,3.0,PANGUIPULLI,14108,2020-10-26,2020-10-30,0.8198363338592294,0.8198363338592294,0.8198363338592294
14,44,3.0,PANGUIPULLI,14108,2020-11-02,2020-11-06,0.8952480925036264,0.8952480925036264,0.8952480925036264
14,45,3.0,PANGUIPULLI,14108,2020-11-09,2020-11-13,0.8261909793000765,0.8261909793000765,0.8261909793000765
14,46,3.0,PANGUIPULLI,14108,2020-11-16,2020-11-20,0.8826232298453806,0.8826232298453806,0.8826232298453806
14,47,3.0,PANGUIPULLI,14108,2020-11-23,2020-11-27,0.9209922607466426,0.9155238374348478,0.9264606840584376
14,48,2.0,PANGUIPULLI,14108,2020-11-30,2020-12-04,0.9156010406142854,0.9156010406142854,0.9156010406142854
14,49,2.0,PANGUIPULLI,14108,2020-12-07,2020-12-11,0.8988787962616703,0.8988787962616703,0.8988787962616703
14,50,2.0,PANGUIPULLI,14108,2020-12-14,2020-12-18,0.8536481083079035,0.8536481083079035,0.8536481083079035
14,51,3.0,PANGUIPULLI,14108,2020-12-21,2020-12-25,0.9149115736527256,0.9149115736527256,0.9149115736527256
14,52,3.0,PANGUIPULLI,14108,2020-12-28,2021-01-01,0.8853591635270619,0.8853591635270619,0.8853591635270619
14,53,3.0,PANGUIPULLI,14108,2021-01-04,2021-01-08,0.9121148674880136,0.9121148674880136,0.9121148674880136
14,54,3.0,PANGUIPULLI,14108,2021-01-11,2021-01-15,0.8285286957706794,0.8285286957706794,0.8285286957706794
14,55,3.0,PANGUIPULLI,14108,2021-01-18,2021-01-22,0.7985299021204438,0.7985299021204438,0.7985299021204438
14,56,3.0,PANGUIPULLI,14108,2021-01-25,2021-01-29,0.7857099785873431,0.7857099785873431,0.7857099785873431
14,57,2.0,PANGUIPULLI,14108,2021-02-01,2021-02-05,0.8192766204591927,0.8192766204591927,0.8192766204591927
14,58,2.0,PANGUIPULLI,14108,2021-02-08,2021-02-12,0.7642474387323526,0.7642474387323526,0.7642474387323526
14,59,2.0,PANGUIPULLI,14108,2021-02-15,2021-02-19,0.8195227393058947,0.8195227393058947,0.8195227393058947
14,60,2.0,PANGUIPULLI,14108,2021-02-22,2021-02-26,0.8057577067667318,0.8057577067667318,0.8057577067667318
14,61,2.0,PANGUIPULLI,14108,2021-03-01,2021-03-05,0.816804665294397,0.816804665294397,0.816804665294397
14,62,1.0,PANGUIPULLI,14108,2021-03-08,2021-03-12,0.7153030802220229,0.7153030802220229,0.7153030802220229
14,63,1.0,PANGUIPULLI,14108,2021-03-15,2021-03-19,0.7291308911099191,0.7291308911099191,0.7291308911099191
14,64,1.0,PANGUIPULLI,14108,2021-03-22,2021-03-26,0.7473128800705341,0.7473128800705341,0.7473128800705341
14,66,1.0,PANGUIPULLI,14108,2021-04-05,2021-04-09,0.6826138873948375,0.6826138873948375,0.6826138873948375
14,67,1.0,PANGUIPULLI,14108,2021-04-12,2021-04-16,0.7148391608774273,0.7148391608774273,0.7148391608774273
14,68,1.0,PANGUIPULLI,14108,2021-04-19,2021-04-23,0.7199936448300551,0.7195773812970413,0.7204099083630687
14,69,1.0,PANGUIPULLI,14108,2021-04-26,2021-04-30,0.7558376230523969,0.7558376230523969,0.7558376230523969
14,70,1.0,PANGUIPULLI,14108,2021-05-03,2021-05-07,0.7821378577061232,0.7821378577061232,0.7821378577061232
14,71,1.0,PANGUIPULLI,14108,2021-05-10,2021-05-14,0.7698228796928095,0.7698228796928095,0.7698228796928095
14,72,1.0,PANGUIPULLI,14108,2021-05-17,2021-05-21,0.7705997510064835,0.7705997510064835,0.7705997510064835
14,73,2.0,PANGUIPULLI,14108,2021-05-24,2021-05-28,0.7960731079637732,0.7960731079637732,0.7960731079637732
14,74,2.0,PANGUIPULLI,14108,2021-05-31,2021-06-04,0.7770653544183849,0.7770653544183849,0.7770653544183849
14,75,2.0,PANGUIPULLI,14108,2021-06-07,2021-06-11,0.7647826213665935,0.7647826213665935,0.7647826213665935
14,76,1.0,PANGUIPULLI,14108,2021-06-14,2021-06-18,0.7402545593284888,0.7402545593284888,0.7402545593284888
14,77,1.0,PANGUIPULLI,14108,2021-06-21,2021-06-25,0.739076054962822,0.739076054962822,0.739076054962822
14,78,1.0,PANGUIPULLI,14108,2021-06-28,2021-07-02,0.7636480843518114,0.7636480843518114,0.7636480843518114
14,79,1.0,PANGUIPULLI,14108,2021-07-05,2021-07-09,0.8018025585652852,0.8018025585652852,0.8018025585652852
14,80,1.0,PANGUIPULLI,14108,2021-07-12,2021-07-16,0.8034938052350283,0.8034938052350283,0.8034938052350283
14,81,1.0,PANGUIPULLI,14108,2021-07-19,2021-07-23,0.8054263581192642,0.8054263581192642,0.8054263581192642
14,82,1.0,PANGUIPULLI,14108,2021-07-26,2021-07-30,0.7961002574527876,0.7961002574527876,0.7961002574527876
14,83,1.0,PANGUIPULLI,14108,2021-08-02,2021-08-06,0.8035382262749713,0.8035382262749713,0.8035382262749713
14,84,1.0,PANGUIPULLI,14108,2021-08-09,2021-08-13,0.8064706767481508,0.8064706767481508,0.8064706767481508
14,85,2.0,PANGUIPULLI,14108,2021-08-16,2021-08-20,0.7806356435674061,0.7806356435674061,0.7806356435674061
14,86,2.0,PANGUIPULLI,14108,2021-08-23,2021-08-27,0.7905740647576404,0.7905740647576404,0.7905740647576404
14,87,3.0,PANGUIPULLI,14108,2021-08-30,2021-09-03,0.8392546696400158,0.8392546696400158,0.8392546696400158
14,88,3.0,PANGUIPULLI,14108,2021-09-06,2021-09-10,0.8928330415519294,0.8928330415519294,0.8928330415519294
14,89,3.0,PANGUIPULLI,14108,2021-09-13,2021-09-17,0.8331194576337009,0.8331194576337009,0.8331194576337009
14,90,3.0,PANGUIPULLI,14108,2021-09-20,2021-09-24,0.8397854017138631,0.8397854017138631,0.8397854017138631
14,91,4.0,PANGUIPULLI,14108,2021-09-27,2021-10-01,0.8458402371716817,0.8458402371716817,0.8458402371716817
14,92,4.0,PANGUIPULLI,14108,2021-10-04,2021-10-08,0.9140904383675618,0.9140904383675618,0.9140904383675618
14,93,4.0,PANGUIPULLI,14108,2021-10-11,2021-10-15,0.858525037583206,0.858525037583206,0.858525037583206
14,94,4.0,PANGUIPULLI,14108,2021-10-18,2021-10-22,0.8736524057135131,0.8736524057135131,0.8736524057135131
14,95,4.0,PANGUIPULLI,14108,2021-10-25,2021-10-29,0.9121334647817276,0.9121334647817276,0.9121334647817276
