region,idc,puntaje,nem,ingreso2,vacantes,ingreso,year,stem,area
7,24206,579,513,40,35,179,2019,0,Art/Humanities
7,8864,586,524,27,45,118,2019,0,Art/Humanities
7,3996,590,520,31,38,126,2019,0,Art/Humanities
7,7110,,,,,1,2019,0,Art/Humanities
5,32559,,,,35,123,2019,0,Art/Humanities
7,32557,,,,95,311,2019,0,Art/Humanities
7,32568,,,,,5,2019,0,Art/Humanities
12,32561,,,,25,79,2019,0,Art/Humanities
5,7141,,,,,1,2019,0,Art/Humanities
7,7196,,,,,6,2019,0,Art/Humanities
12,9270,,,,,2,2019,0,Art/Humanities
7,9157,,,,,1,2019,0,Art/Humanities
7,4647,,,,44,101,2019,0,Art/Humanities
7,9073,,,,60,155,2019,0,Art/Humanities
6,15631,,,,40,30,2019,0,Art/Humanities
7,15643,,,,100,241,2019,0,Art/Humanities
6,41159,,,,40,28,2019,0,Art/Humanities
7,10547,,,,60,181,2019,0,Art/Humanities
7,15646,,,,,1,2019,0,Art/Humanities
7,33463,,,,,11,2019,0,Art/Humanities
6,15630,,,,80,140,2019,0,Art/Humanities
6,15635,,,,80,158,2019,0,Art/Humanities
7,31617,,,,70,171,2019,0,Art/Humanities
6,18387,,,,,23,2019,0,Art/Humanities
7,36512,,,,,3,2019,0,Art/Humanities
7,31620,,,,40,45,2019,0,Art/Humanities
6,33755,,,,,15,2019,0,Art/Humanities
6,15633,,,,,2,2019,0,Art/Humanities
7,4651,,,,,4,2019,0,Art/Humanities
6,15632,,,,,1,2019,0,Art/Humanities
7,38943,,,,50,75,2019,0,Art/Humanities
7,41829,,,,30,27,2019,0,Art/Humanities
7,6210,,,,70,220,2019,0,Art/Humanities
6,6182,,,,40,98,2019,0,Art/Humanities
7,18416,,,,100,350,2019,0,Art/Humanities
6,19923,,,,60,243,2019,0,Art/Humanities
7,19926,,,,60,183,2019,0,Art/Humanities
7,6286,,,,90,349,2019,0,Art/Humanities
6,6175,,,,40,154,2019,0,Art/Humanities
7,6186,,,,110,346,2019,0,Art/Humanities
6,6174,,,,90,315,2019,0,Art/Humanities
7,6356,,,,60,188,2019,0,Art/Humanities
10,6206,,,,50,165,2019,0,Art/Humanities
7,6194,,,,60,241,2019,0,Art/Humanities
6,6184,,,,40,170,2019,0,Art/Humanities
10,27368,,,,40,110,2019,0,Art/Humanities
7,6212,,,,70,219,2019,0,Art/Humanities
6,6374,,,,50,149,2019,0,Art/Humanities
6,32786,,,,,3,2019,0,Art/Humanities
7,30973,,,,,45,2019,0,Art/Humanities
7,36027,,,,,8,2019,0,Art/Humanities
10,36042,,,,,2,2019,0,Art/Humanities
7,30965,,,,,5,2019,0,Art/Humanities
7,6213,,,,,2,2019,0,Art/Humanities
6,6375,,,,,45,2019,0,Art/Humanities
7,35686,,,,,4,2019,0,Art/Humanities
7,35685,,,,,4,2019,0,Art/Humanities
7,38917,,,,30,69,2019,0,Art/Humanities
6,38895,,,,25,39,2019,0,Art/Humanities
6,13841,,,,60,119,2019,0,Art/Humanities
7,22560,,,,45,123,2019,0,Art/Humanities
7,26904,,,,120,373,2019,0,Art/Humanities
10,30220,,,,30,27,2019,0,Art/Humanities
7,26824,,,,55,153,2019,0,Art/Humanities
7,26825,,,,45,83,2019,0,Art/Humanities
9,13498,,,,40,82,2019,0,Art/Humanities
10,34422,,,,30,40,2019,0,Art/Humanities
13,34457,,,,30,30,2019,0,Art/Humanities
7,26497,,,,53,128,2019,0,Art/Humanities
7,14220,,,,104,270,2019,0,Art/Humanities
3,41353,,,,20,1,2019,0,Art/Humanities
3,41354,,,,20,19,2019,0,Art/Humanities
7,41365,,,,25,24,2019,0,Art/Humanities
8,41357,,,,20,18,2019,0,Art/Humanities
7,19768,,,,56,140,2019,0,Art/Humanities
7,28250,,,,31,72,2019,0,Art/Humanities
7,5792,,,,41,84,2019,0,Art/Humanities
7,9770,,,,33,50,2019,0,Art/Humanities
7,28533,,,,35,94,2019,0,Art/Humanities
7,28534,,,,30,60,2019,0,Art/Humanities
7,19738,,,,33,85,2019,0,Art/Humanities
7,5801,,,,,18,2019,0,Art/Humanities
7,9850,,,,22,64,2019,0,Art/Humanities
3,5816,,,,23,55,2019,0,Art/Humanities
3,41322,,,,23,3,2019,0,Art/Humanities
10,14277,,,,2,21,2019,0,Art/Humanities
7,5790,,,,30,69,2019,0,Art/Humanities
7,9771,,,,27,64,2019,0,Art/Humanities
14,5881,,,,,5,2019,0,Art/Humanities
8,5776,,,,,13,2019,0,Art/Humanities
7,5890,,,,27,71,2019,0,Art/Humanities
7,15449,,,,27,8,2019,0,Art/Humanities
6,5835,,,,22,61,2019,0,Art/Humanities
7,32742,,,,28,65,2019,0,Art/Humanities
7,29524,,,,,1,2019,0,Art/Humanities
7,29533,,,,,1,2019,0,Art/Humanities
7,29539,,,,,1,2019,0,Art/Humanities
7,9654,,,,,20,2019,0,Art/Humanities
7,9655,,,,,4,2019,0,Art/Humanities
7,16495,,,,35,77,2019,0,Art/Humanities
7,16497,,,,29,44,2019,0,Art/Humanities
7,16500,,,,30,43,2019,0,Art/Humanities
7,17545,,,,,24,2019,0,Art/Humanities
10,13502,,,,,19,2019,0,Art/Humanities
5,38730,,,,33,48,2019,0,Art/Humanities
7,38708,,,,25,54,2019,0,Art/Humanities
7,38709,,,,30,39,2019,0,Art/Humanities
7,36663,,,,25,42,2019,0,Art/Humanities
7,36696,,,,35,48,2019,0,Art/Humanities
1,29650,,,,20,49,2019,0,Art/Humanities
9,29728,,,,20,44,2019,0,Art/Humanities
2,29729,,,,25,49,2019,0,Art/Humanities
5,29651,,,,30,63,2019,0,Art/Humanities
5,41736,,,,25,29,2019,0,Art/Humanities
7,41735,,,,40,32,2019,0,Art/Humanities
7,29610,,,,20,18,2019,0,Art/Humanities
14,29730,,,,20,40,2019,0,Art/Humanities
7,29732,,,,35,64,2019,0,Art/Humanities
7,32131,,,,,16,2019,0,Art/Humanities
16,29731,,,,20,32,2019,0,Art/Humanities
8,29733,,,,22,41,2019,0,Art/Humanities
12,29735,,,,30,64,2019,0,Art/Humanities
